1,行政区,古城区,530702000000,0
2,乡镇(办事处),大研街道办事处,530702001000,530702000000
3,居委会(其他单位),北门办事处,530702001201,530702001000
4,居委会(其他单位),新义社区居委会,530702001202,530702001000
5,居委会(其他单位),五一社区居委会,530702001203,530702001000
6,居委会(其他单位),七一社区居委会,530702001204,530702001000
7,居委会(其他单位),光义社区居委会,530702001205,530702001000
8,居委会(其他单位),义尚社区居委会,530702001206,530702001000
9,居委会(其他单位),文智社区居委会,530702001207,530702001000
10,居委会(其他单位),新华社区居委会,530702001208,530702001000
11,居委会(其他单位),大研国有林,530702001209,530702001000
12,乡镇(办事处),祥和街道办事处,530702002000,530702000000
13,居委会(其他单位),义和社区居委会,530702002201,530702002000
14,居委会(其他单位),八河社区居委会,530702002202,530702002000
15,居委会(其他单位),祥云社区居委会,530702002203,530702002000
16,居委会(其他单位),顺和社区居委会,530702002204,530702002000
17,居委会(其他单位),玉龙县飞地,530702002205,530702002000
18,乡镇(办事处),西安街道办事处,530702003000,530702000000
19,居委会(其他单位),金甲社区居委会,530702003201,530702003000
20,居委会(其他单位),文汇社区居委会,530702003202,530702003000
21,居委会(其他单位),寨后社区居委会,530702003203,530702003000
22,居委会(其他单位),象山社区居委会,530702003204,530702003000
23,居委会(其他单位),义正社区居委会,530702003205,530702003000
24,居委会(其他单位),清溪社区居委会,530702003206,530702003000
25,居委会(其他单位),玉泉公园管理所,530702003207,530702003000
26,乡镇(办事处),束河街道办事处,530702004000,530702000000
27,居委会(其他单位),龙泉社区居委会,530702004201,530702004000
28,居委会(其他单位),黄山社区居委会,530702004202,530702004000
29,居委会(其他单位),中济社区居委会,530702004203,530702004000
30,居委会(其他单位),开文社区居委会,530702004204,530702004000
31,居委会(其他单位),尚义社区居委会,530702004205,530702004000
32,居委会(其他单位),大研农场,530702004206,530702004000
33,乡镇(办事处),金山街道办事处,530702005000,530702000000
34,居委会(其他单位),金山社区居委会,530702005201,530702005000
35,居委会(其他单位),新团社区居委会,530702005202,530702005000
36,居委会(其他单位),东元社区居委会,530702005203,530702005000
37,居委会(其他单位),团山水库,530702005204,530702005000
38,乡镇(办事处),开南街道办事处,530702006000,530702000000
39,居委会(其他单位),贵峰社区居委会,530702006201,530702006000
40,居委会(其他单位),漾西社区居委会,530702006202,530702006000
41,居委会(其他单位),良美社区居委会,530702006203,530702006000
42,乡镇(办事处),文化街道办事处,530702007000,530702000000
43,居委会(其他单位),文化社区居委会,530702007201,530702007000
44,居委会(其他单位),岩乐社区居委会,530702007202,530702007000
45,居委会(其他单位),东江社区居委会,530702007203,530702007000
46,居委会(其他单位),拉马古社区居委会,530702007204,530702007000
47,乡镇(办事处),金安镇,530702201000,530702000000
48,居委会(其他单位),龙山村民委员会,530702201201,530702201000
49,居委会(其他单位),龙兴村民委员会,530702201202,530702201000
50,居委会(其他单位),玉河村民委员会,530702201203,530702201000
51,居委会(其他单位),三古村民委员会,530702201204,530702201000
52,居委会(其他单位),增明村民委员会,530702201205,530702201000
53,居委会(其他单位),义新村民委员会,530702201206,530702201000
54,居委会(其他单位),光乐村民委员会,530702201207,530702201000
55,乡镇(办事处),七河镇,530702102000,530702000000
56,居委会(其他单位),共和村民委员会,530702202201,530702102000
57,居委会(其他单位),新民村民委员会,530702202202,530702102000
58,居委会(其他单位),七河村民委员会,530702202203,530702102000
59,居委会(其他单位),三义村民委员会,530702202204,530702102000
60,居委会(其他单位),五峰村民委员会,530702202205,530702102000
61,居委会(其他单位),忠义村民委员会,530702202206,530702102000
62,居委会(其他单位),龙潭村民委员会,530702202207,530702102000
63,居委会(其他单位),羊见村民委员会,530702202208,530702102000
64,居委会(其他单位),前山村民委员会,530702202209,530702102000
65,居委会(其他单位),后山村民委员会,530702202210,530702102000
66,居委会(其他单位),丽江飞机场,530702202211,530702102000
67,居委会(其他单位),鹤庆县飞地,530702202212,530702102000
68,乡镇(办事处),大东乡,530702203000,530702000000
69,居委会(其他单位),大东村民委员会,530702203201,530702203000
70,居委会(其他单位),建新村民委员会,530702203202,530702203000
71,居委会(其他单位),白水村民委员会,530702203203,530702203000
72,居委会(其他单位),大东乡国有林,530702203204,530702203000
73,乡镇(办事处),金江白族乡,530702205000,530702000000
74,居委会(其他单位),产构村民委员会,530702205201,530702205000
75,居委会(其他单位),罗玄村民委员会,530702205202,530702205000
76,居委会(其他单位),江边村民委员会,530702205203,530702205000
77,居委会(其他单位),金江村民委员会,530702205204,530702205000
78,居委会(其他单位),普勤村民委员会,530702205205,530702205000
79,居委会(其他单位),金江乡国有林,530702205206,530702205000
80,居委会(其他单位),鹤庆县飞地,530702205207,530702205000
