OBJECTID,BSM,YSDM,DLBM,DLMC,QSDWDM,QSDWMC,QSXZ,ZLTBBH,MJ,ZLDWDM,ZLDWMC,GDLX,GDPDJ,DLBZ,X,Y
425,232063,2001030100,202,建制镇,530702201205,增明村民委员会,20,390,40,530702201205,,,,,100.4217799,26.80575872
426,232064,2001030100,202,建制镇,530702201205,增明村民委员会,20,390,40,530702201205,,,,,100.4211175,26.80551179
427,232232,2001030100,202,建制镇,530702201205,增明村民委员会,10,414,320,530702201205,,,,,100.4047157,26.80159654
428,232060,2001030100,118,水工建筑用地,530702201205,增明村民委员会,30,414,20,530702201205,,,,,100.3986427,26.7976862
429,231960,2001030100,118,水工建筑用地,530702007203,文化街道办事处东江社区居委会,30,595,20,530702007203,,,,,100.4346353,26.98042024
430,231892,2001030100,118,水工建筑用地,530702203203,白水村民委员会,30,752,7,530702203203,,,,,100.3902611,27.180404
431,231973,2001030100,114,坑塘水面,530702007201,文化街道办事处文化社区居委会,30,925,16,530702007201,,,,,100.3716875,26.95689246
432,231813,2001030100,118,水工建筑用地,530702005202,金山街道办事处新团社区居委会,30,3067,60,530702005202,,,,,100.2890738,26.90917598
433,231840,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,629,25,530702202204,,,,,100.258847,26.67487056
434,231962,2001030100,118,水工建筑用地,530702007203,文化街道办事处东江社区居委会,30,348,10,530702007203,,,,,100.4351769,26.97830286
435,231958,2001030100,118,水工建筑用地,530702007203,文化街道办事处东江社区居委会,30,603,20,530702007203,,,,,100.4305289,26.98365102
436,231877,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,90,28,530702202207,,,,,100.3209477,26.75829912
437,231879,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,90,28,530702202207,,,,,100.3227516,26.75925011
438,231878,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,90,28,530702202207,,,,,100.3225899,26.75844161
439,232141,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,1791,28,530702202201,,,,,100.2508202,26.74447385
440,231989,2001030100,43,其他草地,530702006202,开南街道办事处贵峰社区居委会,30,982,67,530702006202,,,,,100.293042,26.79597083
441,232155,2001030100,205,风景名胜及特殊用地,530702202201,共和村民委员会,30,1535,100,530702202201,,,,,100.2621496,26.72560451
442,232154,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,1535,20,530702202201,,,,,100.2628126,26.7242653
443,232152,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,1181,16,530702202201,,,,,100.2653341,26.73463782
444,232192,2001030100,118,水工建筑用地,530702202202,新民村民委员会,30,442,28,530702202202,,,,,100.2343018,26.70245834
445,232190,2001030100,118,水工建筑用地,530702202202,新民村民委员会,30,699,28,530702202202,,,,,100.2267418,26.70602917
446,232074,2001030100,203,村庄,530702201205,增明村民委员会,30,423,20,530702201205,,,,,100.4115519,26.80249499
447,232231,2001030100,202,建制镇,530702201205,增明村民委员会,10,423,320,530702201205,,,,,100.4142132,26.80205396
448,232073,2001030100,203,村庄,530702201205,增明村民委员会,30,423,20,530702201205,,,,,100.4117963,26.80194838
449,232067,2001030100,118,水工建筑用地,530702201205,增明村民委员会,30,355,20,530702201205,,,,,100.4218526,26.80843463
450,232065,2001030100,203,村庄,530702201205,增明村民委员会,30,355,12,530702201205,,,,,100.421371,26.808848
451,232071,2001030100,118,水工建筑用地,530702201205,增明村民委员会,30,378,16,530702201205,,,,,100.4163602,26.80611591
452,232066,2001030100,118,水工建筑用地,530702201205,增明村民委员会,30,363,20,530702201205,,,,,100.4223329,26.80792265
453,232069,2001030100,203,村庄,530702201205,增明村民委员会,30,382,12,530702201205,,,,,100.418981,26.80477249
454,232068,2001030100,203,村庄,530702201205,增明村民委员会,30,382,12,530702201205,,,,,100.4184034,26.80566579
455,232070,2001030100,203,村庄,530702201205,增明村民委员会,30,402,12,530702201205,,,,,100.4170861,26.80451675
